Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,USA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,81.741,79.185,76.62899999999999,74.6802,72.7314,70.7826,68.8338,66.885,65.7818,64.6786,63.5754,62.4722,61.369,59.641999999999996,57.915,56.188,54.461000000000006,52.733999999999995,52.4856,52.2372,51.9888,51.7404,51.492,51.8474,52.2028,52.5582,52.9136,53.269,54.5174,55.7658,57.0142,58.2626,59.511,57.8868,56.2626,54.6384,53.0142,51.39,49.6484,47.9068,46.1652,44.4236,42.681999999999995,42.0618,41.4416,40.8214,40.2012,39.580999999999996,37.2522,34.9234,32.5946,30.2658,27.936999999999998,26.3216,24.7062,23.0908,21.4754,19.86,18.5562,,
United States,USA,Adults (ages 15+) and children (0-14 years) living with HIV,SH.HIV.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610000.0,610000.0,610000.0,600000.0,590000.0,580000.0,580000.0,600000.0,630000.0,650000.0,680000.0,710000.0,730000.0,760000.0,790000.0,820000.0,840000.0,870000.0,910000.0,930000.0,960000.0,990000.0,1000000.0,1000000.0,1100000.0,1100000.0,1100000.0,1100000.0,1200000.0,,
United States,USA,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41000.0,39000.0,37000.0,37000.0,37000.0,37000.0,37000.0,38000.0,38000.0,38000.0,39000.0,39000.0,40000.0,40000.0,41000.0,41000.0,42000.0,43000.0,45000.0,43000.0,41000.0,40000.0,40000.0,39000.0,39000.0,39000.0,39000.0,37000.0,37000.0,,
United States,USA,Adults (ages 15+) living with HIV,SH.DYN.AIDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610000.0,610000.0,610000.0,600000.0,590000.0,570000.0,580000.0,600000.0,620000.0,650000.0,680000.0,700000.0,730000.0,760000.0,790000.0,810000.0,840000.0,870000.0,900000.0,930000.0,960000.0,990000.0,1000000.0,1000000.0,1100000.0,1100000.0,1100000.0,1100000.0,1200000.0,,
United States,USA,Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000.0,36000.0,35000.0,34000.0,34000.0,34000.0,34000.0,35000.0,35000.0,36000.0,36000.0,36000.0,37000.0,37000.0,37000.0,38000.0,38000.0,39000.0,40000.0,39000.0,37000.0,36000.0,36000.0,35000.0,35000.0,35000.0,34000.0,33000.0,33000.0,,
United States,USA,"Age at first marriage, female",SP.DYN.SMAM.FE,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,,,,,,23.7,,,,,23.7,,,27.5,,,,,,,,,,
United States,USA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,29.2,,,,,,,,,,
United States,USA,Age dependency ratio (% of working-age population),SP.POP.DPND,66.1317353094272,66.648032380909,66.6921583715086,66.39293161430021,65.9242908824572,65.36683363437629,64.8140334487465,64.1800460367091,63.45836481971,62.62629531358371,61.67697799069921,60.445363927055595,59.241338261184204,58.0471560760278,56.8355601146168,55.607045110682,54.887857206147004,54.0845251063521,53.2849135684437,52.590600987155504,52.0443180765662,51.600613796640204,51.263747086471604,51.0470890165749,50.9331727816976,50.902977593853294,51.1418728748516,51.4064047066971,51.68664451019279,51.962277960830605,52.2122880402135,52.6054419930296,52.917593695126705,53.120059731662906,53.178807508286894,53.087250839041204,53.0414165201833,52.792626709104006,52.4147508752781,52.002160539884,51.599264822917796,51.1542889678744,50.801811319259,50.479695506723395,50.1106892502882,49.6845677496855,49.6971103492389,49.6149866977895,49.521427534022706,49.525813928503105,49.670515189153,49.869752806181296,50.1154428267481,50.425915172339494,50.793040258568105,51.2095505815438,51.646167547720395,52.1558056764975,52.710677090169796,53.2776665247595,
United States,USA,"Age dependency ratio, old",SP.POP.DPND.OL,15.1441107356828,15.3161254867277,15.430128642974,15.5093798847842,15.578007183973801,15.644473707879401,15.784293479191,15.917687326507002,16.0456823071448,16.1597420831384,16.249853739152602,16.3637967899647,16.4545617348669,16.539834052612502,16.6231026185688,16.697340577314502,16.8678172385656,17.0268272351678,17.193715707635402,17.3764729233977,17.571065102750598,17.715800136710502,17.8472638760038,17.9835711093782,18.1368071846558,18.3070471197091,18.5152429108704,18.7153180089723,18.905279523336,19.076138630399498,19.221038800099603,19.337026139595803,19.4132162163351,19.450143349428302,19.441566650478602,19.384689378845998,19.300025007547102,19.1690669408753,19.0107093941593,18.847841926120104,18.6978580097721,18.613032400062,18.5359034820816,18.4754161700177,18.4374737131615,18.4287320889428,18.5338733535182,18.659783891621,18.832395328769397,19.083454075585802,19.4298858571531,19.8581352824563,20.3578036200108,20.9167901167523,21.514698169878102,22.1414400405827,22.7979975499293,23.461460309398497,24.1399755399275,24.8457061030307,
United States,USA,"Age dependency ratio, young",SP.POP.DPND.YG,50.987624573744405,51.3319068941813,51.2620297285346,50.883551729516,50.3462836984834,49.7223599264969,49.0297399695555,48.2623587102021,47.412682512565205,46.4665532304453,45.4271242515466,44.0815671370909,42.7867765263173,41.5073220234153,40.2124574960481,38.9097045333675,38.0200399675813,37.057697871184295,36.09119786080829,35.2141280637578,34.473252973815605,33.8848136599297,33.4164832104678,33.0635179071967,32.7963655970417,32.595930474144204,32.6266299639813,32.6910866977248,32.7813649868569,32.88613933043111,32.991249240113895,33.2684158534337,33.5043774787915,33.669916382234604,33.7372408578083,33.7025614601952,33.7413915126362,33.6235597682288,33.4040414811188,33.1543186137638,32.9014068131456,32.5412565678124,32.2659078371774,32.0042793367057,31.673215537126698,31.255835660742697,31.163236995720702,30.9552028061685,30.6890322052533,30.4423598529173,30.240629331999898,30.011617523725,29.7576392067373,29.5091250555873,29.278342088690003,29.068110540960998,28.8481699977911,28.694345367099,28.5707015502424,28.431960421728803,
